fold_id,model,macro_f1,brier_score,ece
0,lagrangian_conv1d,0.3234,0.6383,0.1721
1,lagrangian_conv1d,0.1922,0.6665,0.2172
2,lagrangian_conv1d,0.5042,0.545,0.0532
3,lagrangian_conv1d,0.2919,0.5512,0.0405
4,lagrangian_conv1d,0.4531,0.5768,0.1193
5,lagrangian_conv1d,0.2806,0.6614,0.1981
6,lagrangian_conv1d,0.4631,0.5916,0.0833
7,lagrangian_conv1d,0.4362,0.5643,0.0595
8,lagrangian_conv1d,0.3354,0.695,0.2171
9,lagrangian_conv1d,0.4026,0.7167,0.2084
10,lagrangian_conv1d,0.4023,0.7874,0.2819
11,lagrangian_conv1d,0.3782,0.7158,0.2388
12,lagrangian_conv1d,0.3444,0.6271,0.1597
13,lagrangian_conv1d,0.4025,0.5738,0.0452
14,lagrangian_conv1d,0.4127,0.5817,0.0585
15,lagrangian_conv1d,0.2534,0.6834,0.1005
16,lagrangian_conv1d,0.3041,0.7374,0.1443
17,lagrangian_conv1d,0.4138,0.6153,0.0901
18,lagrangian_conv1d,0.3505,0.5822,0.0944
19,lagrangian_conv1d,0.308,0.6203,0.1215
20,lagrangian_conv1d,0.3979,0.6726,0.1267
21,lagrangian_conv1d,0.2884,0.8656,0.3679
22,lagrangian_conv1d,0.3798,0.6258,0.1471
23,lagrangian_conv1d,0.4035,0.6137,0.0804
24,lagrangian_conv1d,0.4342,0.5665,0.0528
25,lagrangian_conv1d,0.4167,0.6572,0.1729
26,lagrangian_conv1d,0.392,0.6611,0.1618
27,lagrangian_conv1d,0.2909,0.7081,0.2541
28,lagrangian_conv1d,0.4271,0.6123,0.1001
29,lagrangian_conv1d,0.3847,0.7556,0.2784
30,lagrangian_conv1d,0.4352,0.6082,0.0588
31,lagrangian_conv1d,0.3659,0.6344,0.0759
32,lagrangian_conv1d,0.3639,0.6168,0.1349
33,lagrangian_conv1d,0.3405,0.6111,0.1204
34,lagrangian_conv1d,0.4092,0.558,0.1603
35,lagrangian_conv1d,0.3048,0.4886,0.074
36,lagrangian_conv1d,0.4323,0.5309,0.1307
37,lagrangian_conv1d,0.2213,0.6223,0.223
38,lagrangian_conv1d,0.494,0.6344,0.196
39,lagrangian_conv1d,0.3949,0.6442,0.2402
40,lagrangian_conv1d,0.433,0.5532,0.1225
41,lagrangian_conv1d,0.4061,0.553,0.1167
42,lagrangian_conv1d,0.4549,0.6068,0.1736
43,lagrangian_conv1d,0.3781,0.6349,0.2114
44,lagrangian_conv1d,0.4894,0.6375,0.1459
45,lagrangian_conv1d,0.3656,0.6781,0.231
46,lagrangian_conv1d,0.4404,0.6522,0.2248
47,lagrangian_conv1d,0.3602,0.5861,0.1624
48,lagrangian_conv1d,0.4364,0.5914,0.1152
49,lagrangian_conv1d,0.3958,0.6614,0.1376
50,lagrangian_conv1d,0.3181,0.7531,0.2622
51,lagrangian_conv1d,0.4674,0.6329,0.1926
52,lagrangian_conv1d,0.3356,0.7133,0.2812
53,lagrangian_conv1d,0.41,0.642,0.2464
54,lagrangian_conv1d,0.4868,0.5706,0.1456
55,lagrangian_conv1d,0.3683,0.5314,0.1148
56,lagrangian_conv1d,0.5632,0.4792,0.0348
57,lagrangian_conv1d,0.4581,0.5124,0.0774
58,lagrangian_conv1d,0.4696,0.5,0.0709
59,lagrangian_conv1d,0.6128,0.5278,0.1108
60,lagrangian_conv1d,0.3998,0.7195,0.2392
61,lagrangian_conv1d,0.4039,0.6583,0.1284
62,lagrangian_conv1d,0.3368,0.6829,0.2155
63,lagrangian_conv1d,0.4733,0.5701,0.0472
64,lagrangian_conv1d,0.3777,0.5425,0.187
65,lagrangian_conv1d,0.4557,0.5952,0.1731
66,lagrangian_conv1d,0.4961,0.5582,0.0767
67,lagrangian_conv1d,0.4679,0.5853,0.0907
68,lagrangian_conv1d,0.4124,0.5746,0.0944
69,lagrangian_conv1d,0.4572,0.5869,0.0663
70,lagrangian_conv1d,0.4705,0.6087,0.101
