fold_id,model,macro_f1,brier_score,ece
20,lagrangian_v6,0.2947,0.7001,0.059
21,lagrangian_v6,0.3787,0.6358,0.1196
22,lagrangian_v6,0.3345,0.7118,0.209
23,lagrangian_v6,0.3993,0.6401,0.0368
24,lagrangian_v6,0.4229,0.6162,0.0327
25,lagrangian_v6,0.381,0.607,0.0691
26,lagrangian_v6,0.471,0.5843,0.0969
27,lagrangian_v6,0.4276,0.5735,0.1007
28,lagrangian_v6,0.4927,0.5574,0.0727
29,lagrangian_v6,0.418,0.6357,0.079
30,lagrangian_v6,0.2996,0.815,0.3322
31,lagrangian_v6,0.3584,0.7162,0.1655
32,lagrangian_v6,0.362,0.7281,0.1694
33,lagrangian_v6,0.3248,0.6265,0.0502
34,lagrangian_v6,0.2686,0.6049,0.0344
35,lagrangian_v6,0.2068,0.5284,0.0522
36,lagrangian_v6,0.3151,0.5531,0.0555
37,lagrangian_v6,0.4685,0.5139,0.116
38,lagrangian_v6,0.3704,0.5971,0.133
39,lagrangian_v6,0.5999,0.4871,0.0726
40,lagrangian_v6,0.4906,0.5636,0.1682
