fold_id,model,macro_f1,brier_score,ece
0,xgb,0.0646,1.0471,0.3194
1,xgb,0.0,1.0936,0.409
2,xgb,0.0,1.0689,0.4222
3,xgb,0.1733,0.7063,0.1669
4,xgb,0.4751,0.6384,0.121
5,xgb,0.4752,0.554,0.1345
6,xgb,0.547,0.5332,0.1256
7,xgb,0.4573,0.6092,0.1434
8,xgb,0.4891,0.6001,0.183
9,xgb,0.4467,0.6703,0.2203
10,xgb,0.4431,0.7222,0.2513
11,xgb,0.35,0.7729,0.2688
12,xgb,0.4033,0.6508,0.2351
13,xgb,0.3962,0.71,0.2738
14,xgb,0.3804,0.6797,0.1939
15,xgb,0.3495,0.6869,0.1848
16,xgb,0.3733,0.6737,0.1419
17,xgb,0.4354,0.5867,0.098
18,xgb,0.5041,0.5697,0.1359
19,xgb,0.5401,0.5497,0.1251
20,xgb,0.4728,0.6431,0.1699
21,xgb,0.51,0.5615,0.1301
22,xgb,0.5035,0.6494,0.1869
23,xgb,0.4412,0.7257,0.2464
24,xgb,0.4204,0.6454,0.1509
25,xgb,0.4309,0.6776,0.2192
26,xgb,0.5257,0.5742,0.114
27,xgb,0.5441,0.5033,0.0357
28,xgb,0.465,0.5281,0.0736
29,xgb,0.4694,0.5509,0.0431
30,xgb,0.5141,0.5933,0.1015
31,xgb,0.4801,0.5744,0.1305
32,xgb,0.5249,0.5304,0.092
33,xgb,0.433,0.5737,0.0962
34,xgb,0.4605,0.6024,0.1699
35,xgb,0.1915,0.5964,0.1609
36,xgb,0.3943,0.6264,0.2355
37,xgb,0.2823,0.5931,0.1904
38,xgb,0.4014,0.6235,0.1976
39,xgb,0.3608,0.6253,0.2432
40,xgb,0.4432,0.5889,0.1733
41,xgb,0.4467,0.5859,0.1601
42,xgb,0.3806,0.6267,0.2484
43,xgb,0.4109,0.5606,0.1328
44,xgb,0.3938,0.6198,0.1856
45,xgb,0.3581,0.6773,0.2586
46,xgb,0.42,0.6735,0.2252
47,xgb,0.3978,0.6684,0.2067
48,xgb,0.4012,0.6069,0.183
49,xgb,0.4977,0.5681,0.1169
50,xgb,0.4414,0.5874,0.1618
51,xgb,0.416,0.5789,0.1197
52,xgb,0.432,0.5931,0.1331
53,xgb,0.4573,0.5651,0.1094
54,xgb,0.4364,0.5926,0.1782
55,xgb,0.5219,0.5809,0.1609
56,xgb,0.4269,0.5691,0.1973
57,xgb,0.4425,0.5712,0.1717
58,xgb,0.4073,0.5417,0.1296
59,xgb,0.5431,0.5243,0.0667
60,xgb,0.4599,0.5615,0.1378
61,xgb,0.3149,0.6107,0.162
62,xgb,0.2945,0.654,0.1876
63,xgb,0.3455,0.6449,0.1694
64,xgb,0.5415,0.585,0.0816
65,xgb,0.5847,0.5223,0.1207
66,xgb,0.566,0.5241,0.1291
67,xgb,0.529,0.5186,0.0289
68,xgb,0.5149,0.554,0.1193
69,xgb,0.4511,0.5791,0.1386
70,xgb,0.4725,0.5917,0.1759
